song,artist,chords,date added,genre,lyrics,notes,times requested
"Isla De Encanta
","Pixies, The","power chords:  B  Bb A C
chorus:     D E B
verse 2.    B  Bb A C
chorus 2.  D E B
bridge:      G A  (ends on G)
instr verse, with screams, and Patria
chorus 3.",,rock,"Hermanita ven conmigo 
Hermanita ven conmigo 
Hay aviones cada hora,
Isla del encanta,
Me voy! Me voy! Me voy!
Donde no hay sufrimiento
Donde no hay sufrimiento
Me vieron pasar por la calle,
Isla del encanta,
Me voy! Me voy! Me voy!
Nuestro propio animal canta a la gente pa'gratis
Hey babe what are we doing here?
[music stops]
Aaaaa!!!!!!!!!
Loooh!!!!!!!!!
Patria!
Isla del encanta,
Me voy! Me voy! Me voy!
[Translation]
Little sister come with me,There are planes each hour,
Island of the enchantment, I'm leaving!
Where there is no suffering, They saw me pass by the street,
Our own animal sings for free for the people,
Hey babe what are we doing here? Laaa Loooh,Fatherland.
",,
Wave of Mutilation,"Pixies, The","(F)
shortened intro: 
G
D  ---3-3-3-3-3-3-3-3-2-2-2-2
A  --------------0-0-0-0-1-1-1-1
E  ---1-1-1-1---------------------
verse: F  Am  Bb  Gm    (Bb A G)
           F  Am  Bb  Gm    (Bb A G)
           F  A     Bb  Gm    (Bb A G)
chorus:  F   A   Bb
wave:  F  Bb     F   Bb   (**1st time hold Bb for a while) 
           Gm  (Bb A G)
                                     (**2nd time repeat chorus.)",,rock,"cease to resist, giving my goodbye
drive my car into the ocean
you'll think i'm dead, but i sail away
on a wave of mutilation
a wave
wave
i've kissed mermaids, rode the el nino
walked the sand with the crustaceans
could find my way to mariana
on a wave of mutilation,
wave of mutilation
wave of mutilation
wave
wave of mutilation
wave ",,6
Gigantic,"Pixies, The","(G)
riff:  
A    ----------5-5-7-7-2-2-2-2-3-3-5-5
E     -3-3-3
chorus: same, with power chords
",,,"And this I know, his teeth as white as snow
What a gas it was to see him
Walk her every day into a shady place
With her lips she said she said
Hey Paul, Hey Paul, Hey Paul, let's have a ball [3x]
Gigantic, gigantic, gigantic
A big big love
Gigantic, gigantic, gigantic
A big big love
Lovely legs, they are...
What a big black mess, what a hunk of love
Walk her every day into a shady place
He's like the dark, but I'd want him
Hey Paul, Hey Paul, Hey Paul, let's have a ball [3x]
Gigantic, gigantic, gigantic
A big big love
Gigantic, gigantic, gigantic
A big big love
Gigantic, gigantic, gigantic
A big big love
Gigantic, gigantic, gigantic
A big big love",,8
All I Want Is You (Juno Soundtrack),Barry Louis Polisar,"(G)
1st verse a capella
G - C - G
G - D - G
",,folk,"[a capella]: If I was a flower growing wild and free
All I'd want is you to be my sweet honey bee.
And if I was a tree growing tall and green
All I'd want is you to shade me and be my leaves
[music starts]
If I was a flower growing wild and free
All I'd want is you to be my sweet honey bee.
And if I was a tree growing tall and green
All I'd want is you to shade me and be my leaves
All I want is you, will you be my bride
Take me by the hand and stand by my side
All I want is you, will you stay with me?
Hold me in your arms and sway me like the sea.
If you were a river in the mountains tall,
The rumble of your water would be my call.
If you were the winter, I know I'd be the snow
Just as long as you were with me, when the cold winds blow.
All I want is you, will you be my bride
Take me by the hand and stand by my side
All I want is you, will you stay with me?
Hold me in your arms and sway me like the sea.
If you were a wink, I'd be a nod
If you were a seed, well I'd be a pod.
If you were the floor, I'd wanna be the rug
And if you were a kiss, I know I'd be a hug
All I want is you, will you be my bride
Take me by the hand and stand by my side
All I want is you, will you stay with me?
Hold me in your arms and sway me like the sea.
If you were the wood, I'd be the fire.
If you were the love, I'd be the desire.
If you were a castle, I'd be your moat,
And if you were an ocean, I'd learn to float.
All I want is you, will you be my bride
Take me by the hand and stand by my side
All I want is you, will you stay with me?
Hold me in your arms and sway me like the sea.",,
All I Want is You,Juno Soundtrack,"(G)
1st verse a capella
G - C - G
G - D - G
",,folk,"[a capella]: If I was a flower growing wild and free
All I'd want is you to be my sweet honey bee.
And if I was a tree growing tall and green
All I'd want is you to shade me and be my leaves
[music starts]
If I was a flower growing wild and free
All I'd want is you to be my sweet honey bee.
And if I was a tree growing tall and green
All I'd want is you to shade me and be my leaves
All I want is you, will you be my bride
Take me by the hand and stand by my side
All I want is you, will you stay with me?
Hold me in your arms and sway me like the sea.
If you were a river in the mountains tall,
The rumble of your water would be my call.
If you were the winter, I know I'd be the snow
Just as long as you were with me, when the cold winds blow.
All I want is you, will you be my bride
Take me by the hand and stand by my side
All I want is you, will you stay with me?
Hold me in your arms and sway me like the sea.
If you were a wink, I'd be a nod
If you were a seed, well I'd be a pod.
If you were the floor, I'd wanna be the rug
And if you were a kiss, I know I'd be a hug
All I want is you, will you be my bride
Take me by the hand and stand by my side
All I want is you, will you stay with me?
Hold me in your arms and sway me like the sea.
If you were the wood, I'd be the fire.
If you were the love, I'd be the desire.
If you were a castle, I'd be your moat,
And if you were an ocean, I'd learn to float.
All I want is you, will you be my bride
Take me by the hand and stand by my side
All I want is you, will you stay with me?
Hold me in your arms and sway me like the sea.",,
A Well Respected Man,"Kinks, The","verses (5 lines per verse):
C   Em   Am
chorus:
F    Em   F   D   G
",,rock oldies,"cause he gets up in the morning, And he goes to work at nine,
And he comes back home at five-thirty, Gets the same train every time.
cause his world is built round punctuality, it never fails.
And he’s oh, so good, And he’s oh, so fine,
And he’s oh, so healthy, In his body and his mind.
Hes a well respected man about town,
Doing the best things so conservatively.
And his mother goes to meetings, While his father pulls the maid,
And she stirs the tea with councilors, While discussing foreign trade,
And she passes looks, as well as bills At every suave young man
cause hes oh, so good, And hes oh, so fine,
And hes oh, so healthy, In his body and his mind.
Hes a well respected man about town,
Doing the best things so conservatively.
And he likes his own backyard, And he likes his fags the best,
cause hes better than the rest, And his own sweat smells the best,
And he hopes to grab his fathers loot, When pater passes on.
cause hes oh, so good, And hes oh, so fine,
And hes oh, so healthy, In his body and his mind.
Hes a well respected man about town,
Doing the best things so conservatively.
And he plays at stocks and shares, And he goes to the regatta,
And he adores the girl next door, cause hes dying to get at her,
But his mother knows the best about The matrimonial stakes.
cause hes oh, so good, And hes oh, so fine,
And hes oh, so healthy, In his body and his mind.
Hes a well respected man about town,
Doing the best things so conservatively.",,
My Little Corner of the World,Yo La Tengo,"gtr intro (bar chords up hi):
Eb   Ab   Cm   F    Bb    Eb   Eb
verse:
Eb    Eb    Bb  Bb
Fm7 Bb    Eb  Eb7
Ab    Ab    Gm   C       
Fm7 Fm7 Ab Bb  Bb  (”share a sweet embrace”)
verse 2 
Eb    Eb    Bb  Bb
Fm7 Bb    Eb  Eb7
Ab    Ab    Gm   C       
Fm7 Fm7 Bb  Eb   Eb (”so welcome to”)
instr
Eb    Eb    Bb  Bb
Fm7 Bb    Eb  Eb7
Ab    Ab    Gm   C       
Fm7 Fm7 Ab Bb  Bb
verse 3
Eb    Eb    Bb  Bb
Fm7 Bb    Eb  Eb7
Ab    Ab    Gm   C       
Fm7 Fm7 Bb  (”so welcome to”)
Eb  Ab  Eb  Ab  Eb Ab Eb...
",,indie rock,"[gtr intro]
Come along with me to 
my little corner of the world
Dream a little dream 
in my little corner of the world
You'll soon forget 
that there's any other place
Tonight, my love, 
we'll share a sweet embrace
And if you care to stay 
in my little corner of the world
We could hide away 
in my little corner of the world
I always knew that I'd 
find someone like you
So welcome to 
my little corner of the world
[instrumental verse]
And if you care to stay 
in our little corner of the world
We could hide away 
in our little corner of the world
We always knew
that we'd find someone like you
So welcome to 
our little corner of the world",,
Anyone Else But You,"Moldy Peaches, The",G   C   ,,folk,"You're a part time lover and a full time friend
The monkey on you're back is the latest trend
I don't see what anyone can see, in anyone else But you
I kiss you on the brain in the shadow of a train
I kiss you all starry eyed, my body's swinging from side to side
I don't see what anyone can see, in anyone else But you
Here is the church and here is the steeple
We sure are cute for two ugly people
I don't see what anyone can see, in anyone else But you
The pebbles forgive me, the trees forgive me
So why can't, you forgive me?
I don't see what anyone can see, in anyone else But you
I will find my nitch in your car
With my mp3 DVD rumple-packed guitar
I don't see what anyone can see, in anyone else But you
Du du du du du du dudu...
Up up down down left right left right B A start
Just because we use cheats doesn't mean we're not smart
I don't see what anyone can see, in anyone else But you
You are always trying to keep it real
I'm in love with how you feel
I don't see what anyone can see, in anyone else But you
We both have shiny happy fits of rage
You want more fans, I want more stage
I don't see what anyone can see, in anyone else But you
Don Quixote was a steel driving man
My name is Adam I'm your biggest fan
I don't see what anyone can see, in anyone else But you
Squinched up your face and did a dance
You shook a little turd out of the bottom of your pants
I don't see what anyone can see, in anyone else But you
Du du du du du du dudu...
But you",,1
Anyone Else But You,Juno Soundtrack,G   C   ,,folk,"You're a part time lover and a full time friend
The monkey on you're back is the latest trend
I don't see what anyone can see, in anyone else But you
I kiss you on the brain in the shadow of a train
I kiss you all starry eyed, my body's swinging from side to side
I don't see what anyone can see, in anyone else But you
Here is the church and here is the steeple
We sure are cute for two ugly people
I don't see what anyone can see, in anyone else But you
The pebbles forgive me, the trees forgive me
So why can't, you forgive me?
I don't see what anyone can see, in anyone else But you
I will find my nitch in your car
With my mp3 DVD rumple-packed guitar
I don't see what anyone can see, in anyone else But you
Du du du du du du dudu...
Up up down down left right left right B A start
Just because we use cheats doesn't mean we're not smart
I don't see what anyone can see, in anyone else But you
You are always trying to keep it real
I'm in love with how you feel
I don't see what anyone can see, in anyone else But you
We both have shiny happy fits of rage
You want more fans, I want more stage
I don't see what anyone can see, in anyone else But you
Don Quixote was a steel driving man
My name is Adam I'm your biggest fan
I don't see what anyone can see, in anyone else But you
Squinched up your face and did a dance
You shook a little turd out of the bottom of your pants
I don't see what anyone can see, in anyone else But you
Du du du du du du dudu...
But you",,
I Never,Rilo Kiley,"A   Bm   C#m   Bm
I'm only a woman... of flesh and bone
And I wept much We all do
I thought I might die alone
A   Bm   C#m   D  E   
But I had never (x11) 
met you
So baby be good to me
A   Bm   C#m   Bm
I've got nothing to give you, you see
except everything, everything, everything, everything All the good And the bad
Cause I've been bad I've lied, cheated, stolen, 
and been ungrateful for what I had
And I'm afraid habits rule my waking life
I'm scared and I'm running in my sleep... for you
But all of the oceans and rivers and showers  will wash it all away 
And make me clean for you
A   Bm   C#m   D  E   
Cause I had never(x15) 
met you
A   Bm   C#m   Bm
bridge:
D   Dm   A  E/Ab  F#m  
So let's take a loan out Put it down on a house
In a place we've never lived
in a place that exists In the pages of scripts and
the songs that they sing
D   Dm   E    E   E
And all the beautiful things
That make you weep but
Don't have to make you weak
[break]
Cause I...
A   Bm   C#m   Bm
A   Bm   C#m   D  E   A(end)
never(x27) 
loved somebody the way I loved you.
(song has long gtr solo after the break, but we can skip that)",,indie rock,"I'm only a woman... of flesh and bone
And I wept much We all do
I thought I might die alone
But I had never (x11)   met you
So baby be good to me
I've got nothing to give you, you see
except everything, everything, everything, everything
All the good And the bad
Cause I've been bad
I've lied, cheated, stolen, 
and been ungrateful for what I had
And I'm afraid habits rule my waking life
I'm scared and I'm running in my sleep... for you
But all of the oceans and rivers and showers 
will wash it all away
And make me clean for you
Cause I had never(x15)   met you
So let's take a loan out
Put it down on a house
In a place we've never lived
in a place that exists
In the pages of scripts and
the songs that they sing
And all the beautiful things
That make you weep but
Don't have to make you weak
[music stops] 
Cause I...
never(x27) 
loved somebody the way I loved you.",listen to transition out of chorus,5
